condition,drugName
ADHD,Guanfacine
Birth Control,Lybrel
Birth Control,Ortho Evra
Opiate Dependence,Buprenorphine / naloxone
Benign Prostatic Hyperplasia,Cialis
Emergency Contraception,Levonorgestrel
Bipolar Disorde,Aripiprazole
Epilepsy,Keppra
Birth Control,Ethinyl estradiol / levonorgestrel
Migraine Prevention,Topiramate
Depression,L-methylfolate
"Crohn's Disease",Pentasa
Cough,Dextromethorphan
Birth Control,Nexplanon
Obesity,Liraglutide
Urinary Tract Infection,Trimethoprim
ibromyalgia,Amitriptyline
Bipolar Disorde,Lamotrigine
Chronic Myelogenous Leukemia,Nilotinib
HIV Infection,Atripla
Insomnia,Trazodone
Birth Control,Etonogestrel
Rheumatoid Arthritis,Etanercept
Vaginal Yeast Infection,Tioconazole
Chlamydia Infection,Azithromycin
Hirsutism,Eflornithine
ADHD,Daytrana
Panic Disorde,Ativan
Migraine,Imitrex
Depression,Sertraline
Pain,Toradol
Irritable Bowel Syndrome,Viberzi
Osteoarthritis,Mobic
Constipation,Dulcolax
Pain,Morphine
Bowel Preparation,MoviPrep
Psychosis,Trilafon
Vaginal Yeast Infection,Fluconazole
Obesity,Contrave
Panic Disorde,Clonazepam
Muscle Spasm,Metaxalone
Depression,Venlafaxine
Hepatitis C,Ledipasvir / sofosbuvir
Bipolar Disorde,Symbyax
Overactive Bladde,Tamsulosin
Urinary Tract Infection,Doxycycline
"Diabetes, Type 2",Dulaglutide
ADHD,Intuniv
Pain,Buprenorphine
"Asthma, Maintenance",Qvar
Non-Small Cell Lung Cance,Opdivo
Dysuria,Pyridium
Bipolar Disorde,Latuda
Smoking Cessation,Bupropion
Birth Control,Implanon
Anxiety,Effexor XR
Birth Control,Drospirenone / ethinyl estradiol
Birth Control,NuvaRing
Bowel Preparation,Prepopik
Acne,Tretinoin
Birth Control,Gildess Fe 1 / 20
Acne,Ethinyl estradiol / norgestimate
Hepatitis C,Elbasvir / grazoprevir
emale Infertility,Clomiphene
"Constipation, Acute",Docusate / senna
"Constipation, Drug Induced",Amitiza
Erectile Dysfunction,Sildenafil
Birth Control,Lo Loestrin Fe
Trigeminal Neuralgia,Oxcarbazepine
Depression,Wellbutrin
Constipation,"Phillips' Milk of Magnesia"
Underactive Thyroid,Nature-Throid
Bipolar Disorde,Lithium
Chronic Pain,Oxycodone
Atrophic Vaginitis,Estradiol
Birth Control,Sronyx
Skin and Structure Infection,Augmentin XR
Vaginal Yeast Infection,Monistat 7-Day Combination Pack
Emergency Contraception,Plan B One-Step
Tinnitus,Alprazolam
Major Depressive Disorde,Fluoxetine
Acne,Spironolactone
Anxiety and Stress,Fluvoxamine
Urinary Tract Infection,Macrobid
Schizophrenia,Lurasidone
Acne,Adapalene / benzoyl peroxide
Rosacea,Brimonidine
High Blood Pressure,Amlodipine / olmesartan
,Loestrin 24 Fe
Irritable Bowel Syndrome,Linaclotide
Anxiety,Mirtazapine
Pain,Acetaminophen / hydrocodone
Acne,Isotretinoin
Restless Legs Syndrome,Ropinirole
Osteolytic Bone Metastases of Solid Tumors,Zoledronic acid
Bipolar Disorde,Lamictal
Anxiety,Buspirone
Anxiety,Propranolol
ADHD,Focalin
Birth Control,Jolivette
Bronchitis,Levofloxacin
Obesity,Phentermine / topiramate
Skin or Soft Tissue Infection,Cephalexin
Birth Control,Aviane
Obesity,Saxenda
Obsessive Compulsive Disorde,Clomipramine
Endometriosis,Medroxyprogesterone
Acne,Aczone
Smoking Cessation,Nicoderm CQ
Opiate Dependence,Naltrexone
Keratoconjunctivitis Sicca,Restasis
Birth Control,Depo-Provera
Bipolar Disorde,Olanzapine
Overactive Bladde,Oxytrol
Breakthrough Pain,Fentanyl
Acne,Epiduo
Acne,Accutane
Panic Disorde,Xanax
Depression,Desvenlafaxine
Neuropathic Pain,Lyrica
Sedation,Phenergan
Menstrual Disorders,Loestrin 21 1 / 20
Allergic Rhinitis,Loratadine
Benign Prostatic Hyperplasia,Cardura XL
Major Depressive Disorde,Viibryd
Birth Control,Mirena
Birth Control,Ethinyl estradiol / norelgestromin
Anesthesia,Propofol
Pain,Camphor / menthol
Undifferentiated Connective Tissue Disease,Hydroxychloroquine
Obesity,Lorcaserin
"Diabetes, Type 1",Insulin degludec
Depression,Trintellix
Endometriosis,Lupron Depot
Muscle Spasm,Zanaflex
Vaginal Yeast Infection,Miconazole
Pain,Opana ER
Abnormal Uterine Bleeding,Provera
Vaginal Yeast Infection,Diflucan
"Breast Cancer, Metastatic",Ibrance
Birth Control,Reclipsen
High Blood Pressure,Lisinopril
"Diabetes, Type 2",Empagliflozin
Period Pain,Naproxen
Helicobacter Pylori Infection,Amoxicillin / clarithromycin / lansoprazole
Atrial Fibrillation,Metoprolol
"Constipation, Drug Induced",Naloxegol
Birth Control,Skyla
Uterine Fibroids,Leuprolide
Emergency Contraception,Ulipristal
Cough,Benzonatate
Kidney Infections,Sulfamethoxazole / trimethoprim
Migraine,Eletriptan
Generalized Anxiety Disorde,Escitalopram
Asthma,Dulera
Postmenopausal Symptoms,Prempro
High Cholesterol,Gemfibrozil
Bipolar Disorde,Depakote
"Hypogonadism, Male",Testosterone
Migraine,Zomig
ADHD,Vyvanse
Acne,Solodyn
HIV Infection,Efavirenz / emtricitabine / tenofovir
Hyperthyroidism,Methimazole
Birth Control,Ortho Tri-Cyclen
Back Pain,Aleve
Cough,Tylenol with Codeine #3
"Diabetes, Type 2",Victoza
Irritable Bowel Syndrome,Lubiprostone
Birth Control,Ethinyl estradiol / norethindrone
Hepatitis C,Sovaldi
Depression,Pristiq
Anaplastic Oligodendroglioma,Temozolomide
Rheumatoid Arthritis,Nabumetone
Osteoarthritis,Meloxicam
"Sjogren's Syndrome",Cevimeline
"Asthma, acute",ProAir RespiClick
Hot Flashes,Gabapentin
Migraine,Relpax
Depression,Levomilnacipran
,Yaz
"Herpes Simplex, Suppression",Valtrex
Bacterial Infection,Clindamycin
Anxiety,BuSpar
Emergency Contraception,Plan B
Bursitis,Trolamine salicylate
ADHD,Lisdexamfetamine
Weight Loss,Qsymia
Migraine,Rizatriptan
Acne,Ziana
Diaper Rash,Boudreaux Butt Paste
Depression,Cymbalta
Panic Disorde,Zoloft
Muscle Spasm,Tizanidine
Systemic Mastocytosis,Gastrocrom
Birth Control,Seasonique
ADHD,Amphetamine / dextroamphetamine
Birth Control,Liletta
"Diabetes, Type 2",Exenatide
Trichotillomania,Paroxetine
Obesity,Bontril Slow Release
"Hashimoto's disease",Levothroid
Epilepsy,Carbamazepine
Weight Loss,Adipex-P
"Diabetes, Type 2",Bydureon
Obesity,Bupropion / naltrexone
Pain,Voltaren-XR
