classification,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,experimentalTechnique,macromoleculeType,pdbxDetails,phValue,publicationYear,residueCount,resolution,structureId,structureMolecularWeight
DNA-RNA HYBRID,"VAPOR DIFFUSION, HANGING DROP",,1.78,30.89,X-RAY DIFFRACTION,DNA/RNA Hybrid,"pH 7.00, VAPOR DIFFUSION, HANGING DROP",7,1994,20,1.9,100D,6360.3
DNA,,,2,38.45,X-RAY DIFFRACTION,DNA,,,1995,24,2.25,101D,7939.35
OXYGEN TRANSPORT,,,3.09,60.2,X-RAY DIFFRACTION,Protein,"3.0 M AMMONIUM SULFATE, 20 MM TRIS, 1MM EDTA, PH 9.0",9,1999,154,2.07,101M,18112.8
DNA,"VAPOR DIFFUSION, SITTING DROP",277,2.28,46.06,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION, SITTING DROP, temperature 277.00K",7,1995,24,2.2,102D,7637.17
HYDROLASE(O-GLYCOSYL),,,2.75,55.28,X-RAY DIFFRACTION,Protein,,,1993,165,1.74,102L,18926.61
OXYGEN TRANSPORT,,,3.09,60.2,X-RAY DIFFRACTION,Protein,"3.0 M AMMONIUM SULFATE, 20 MM TRIS, 1MM EDTA, PH 9.0",9,1999,154,1.84,102M,18010.64
DNA,,,,,SOLUTION NMR,DNA,,,1994,24,,103D,7502.93
HYDROLASE(O-GLYCOSYL),,,2.7,54.46,X-RAY DIFFRACTION,Protein,,,1993,167,1.9,103L,19092.72
OXYGEN TRANSPORT,,,3.09,60.3,X-RAY DIFFRACTION,Protein,"3.0 M AMMONIUM SULFATE, 20 MM TRIS, 1MM EDTA, PH 9.0",9,1999,154,2.07,103M,18093.78
DNA-RNA HYBRID,,,,,SOLUTION NMR,DNA/RNA Hybrid,,,1995,24,,104D,7454.78
HYDROLASE(O-GLYCOSYL),,,3.04,59.49,X-RAY DIFFRACTION,Protein,,,1993,332,2.8,104L,37541.04
OXYGEN TRANSPORT,,,1.87,34.3,X-RAY DIFFRACTION,Protein,"3.0 M AMMONIUM SULFATE, UNBUFFERED, pH 7.0",7,1999,153,1.71,104M,18030.63
DNA,,,,,SOLUTION NMR,DNA,,,1995,12,,105D,3350.4
OXYGEN TRANSPORT,,,1.83,33,X-RAY DIFFRACTION,Protein,"3.0 M AMMONIUM SULFATE, UNBUFFERED, pH 9.0",9,1999,153,2.02,105M,18030.63
DNA,,,,,SOLUTION NMR,DNA,,,1995,12,,106D,3086.58
OXYGEN TRANSPORT,,,3.05,59.7,X-RAY DIFFRACTION,Protein,"3.0 M AMMONIUM SULFATE, 20 MM TRIS, 1MM EDTA, PH 9.0",9,1999,154,1.99,106M,18181.84
DNA,,,,,SOLUTION NMR,DNA,,,1995,14,,107D,4744.35
HYDROLASE(O-GLYCOSYL),,,2.81,56.17,X-RAY DIFFRACTION,Protein,,,1993,164,1.8,107L,18825.51
OXYGEN TRANSPORT,,,3.08,60.1,X-RAY DIFFRACTION,Protein,"3.0 M AMMONIUM SULFATE, 20 MM TRIS, 1MM EDTA, PH 9.0",9,1999,154,2.09,107M,18208.89
DNA,,,,,SOLUTION NMR,DNA,,,1995,16,,108D,5650.37
HYDROLASE(O-GLYCOSYL),,,2.79,55.9,X-RAY DIFFRACTION,Protein,,,1993,164,1.8,108L,18881.62
OXYGEN TRANSPORT,,,3.07,60,X-RAY DIFFRACTION,Protein,"3.0 M AMMONIUM SULFATE, 20 MM TRIS, 1MM EDTA, PH 9.0, pH 7.0",7,1999,154,2.67,108M,18208.89
DNA,,,2.23,44.88,X-RAY DIFFRACTION,DNA,,,1995,24,2,109D,7747.53
HYDROLASE(O-GLYCOSYL),,,2.76,55.47,X-RAY DIFFRACTION,Protein,,,1993,164,1.85,109L,18897.64
OXYGEN TRANSPORT,,,3.07,59.9,X-RAY DIFFRACTION,Protein,"3.0 M AMMONIUM SULFATE, 20 MM TRIS, 1MM EDTA, PH 9.0",9,1999,154,1.83,109M,18133.8
TRANSFERASE/TRANSFERASE INHIBITOR,,,2.61,52.86,X-RAY DIFFRACTION,Protein,pH 5.8,5.8,1997,418,2.2,10GS,47830.7
TRANSFERASE/DNA,,,3.52,65.03,X-RAY DIFFRACTION,Protein#DNA,10% (W/V) PEG 8000 50 MM CALCIUM ACETATE 50 MM SODIUM CACODYLATE PH 6.5,6.5,1999,351,2.55,10MH,44768.42
DNA,"VAPOR DIFFUSION, SITTING DROP",277,2.9,57.63,X-RAY DIFFRACTION,DNA,"pH 6.60, VAPOR DIFFUSION, SITTING DROP, temperature 277.00K",6.6,1993,6,1.9,110D,2337.73
HYDROLASE(O-GLYCOSYL),,,2.78,55.71,X-RAY DIFFRACTION,Protein,,,1993,164,1.7,110L,18881.62
OXYGEN TRANSPORT,,,3.06,59.9,X-RAY DIFFRACTION,Protein,"3.0 M AMMONIUM SULFATE, 20 MM TRIS, 1MM EDTA, PH 9.0",9,1999,154,1.77,110M,18118.77
DNA,"VAPOR DIFFUSION, SITTING DROP",277,2.29,46.25,X-RAY DIFFRACTION,DNA,"pH 6.60, VAPOR DIFFUSION, SITTING DROP, temperature 277.00K",6.6,1989,24,2.25,111D,7374.83
HYDROLASE(O-GLYCOSYL),,,2.8,56.03,X-RAY DIFFRACTION,Protein,,,1993,164,1.8,111L,18726.29
OXYGEN TRANSPORT,,,3.06,59.8,X-RAY DIFFRACTION,Protein,"3.0 M AMMONIUM SULFATE, 20 MM TRIS, 1MM EDTA, PH 9.0",9,1999,154,1.88,111M,18160.85
DNA,"VAPOR DIFFUSION, SITTING DROP",,2.38,48.37,X-RAY DIFFRACTION,DNA,"pH 7.40, VAPOR DIFFUSION, SITTING DROP",7.4,1986,24,2.5,112D,7374.83
HYDROLASE(O-GLYCOSYL),,,2.8,56.08,X-RAY DIFFRACTION,Protein,,,1993,164,1.8,112L,18865.57
OXYGEN TRANSPORT,,,3.04,59.6,X-RAY DIFFRACTION,Protein,"3.0 M AMMONIUM SULFATE, 20 MM TRIS, 1MM EDTA, PH 9.0",9,1999,154,2.34,112M,18146.82
DNA,"VAPOR DIFFUSION, SITTING DROP",281,2.35,47.59,X-RAY DIFFRACTION,DNA,"pH 7.40, VAPOR DIFFUSION, SITTING DROP, temperature 281.00K",7.4,1987,24,2.5,113D,7356.81
HYDROLASE(O-GLYCOSYL),,,2.82,56.31,X-RAY DIFFRACTION,Protein,,,1993,164,1.8,113L,18925.65
DNA,"VAPOR DIFFUSION, SITTING DROP",,2.41,48.86,X-RAY DIFFRACTION,DNA,"pH 7.40, VAPOR DIFFUSION, SITTING DROP",7.4,1987,24,2.5,114D,7344.81
HYDROLASE(O-GLYCOSYL),,,2.79,55.89,X-RAY DIFFRACTION,Protein,,,1993,164,1.8,114L,18869.56
DNA,VAPOR DIFFUSION,,2.39,48.62,X-RAY DIFFRACTION,DNA,"pH 7.00, VAPOR DIFFUSION",7,1986,16,1.7,115D,5112.71
HYDROLASE(O-GLYCOSYL),,,2.78,55.8,X-RAY DIFFRACTION,Protein,,,1993,164,1.8,115L,18867.59
DNA,VAPOR DIFFUSION,,3.01,59.09,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION",6.5,1992,12,2.5,116D,3663.39
HYDROLASE(O-GLYCOSYL),,,2.46,50.02,X-RAY DIFFRACTION,,,,1993,0,2.05,116L,74455.45
DNA,VAPOR DIFFUSION,277,3.01,59.09,X-RAY DIFFRACTION,DNA,"pH 6.50, VAPOR DIFFUSION, temperature 277.00K",6.5,1992,12,2.55,117D,3663.39
HYDROLASE,,,2.71,54.69,X-RAY DIFFRACTION,Protein,"17-19% MPD, 25 MM MES, PH 6.0, 1 MM MNCL2, 0.5 MM NA2HPO4, 10 MG/ML PROTEIN",6,1998,572,2.15,117E,65203.21
